"filename", "language", "C++", "comment", "blank", "total"
"/Users/danieldew/Documents/GitHub/29457A-Worlds/Code/Worlds-MAIN/include/usr/Inputs.h", "C++", 49, 38, 3, 90
"/Users/danieldew/Documents/GitHub/29457A-Worlds/Code/Worlds-MAIN/include/usr/api.h", "C++", 57, 17, 7, 81
"/Users/danieldew/Documents/GitHub/29457A-Worlds/Code/Worlds-MAIN/include/usr/fieldDimensions.h", "C++", 20, 18, 5, 43
"/Users/danieldew/Documents/GitHub/29457A-Worlds/Code/Worlds-MAIN/include/usr/main.h", "C++", 19, 53, 10, 82
"/Users/danieldew/Documents/GitHub/29457A-Worlds/Code/Worlds-MAIN/include/usr/robot.h", "C++", 98, 39, 9, 146
"/Users/danieldew/Documents/GitHub/29457A-Worlds/Code/Worlds-MAIN/include/usr/utils.h", "C++", 26, 28, 10, 64
"Total", "-", 269, 193, 44, 506
